,Metric,Value (average),Value (std)
0,R2,0.6851212462651698,0.024403990280244987
1,Accuracy,0.8347305122494432,0.017151277344566396
2,Precision,0.8346291033830111,0.026816816584860147
3,Sensitivity,0.8556634539962508,0.02165164758382063
4,Specificity,0.8120299999999999,0.030238111173599105
5,F1 score,0.8446573669747743,0.016970524260832797
6,F1 score (weighted),0.834576128952208,0.01724021530190356
7,F1 score (macro),0.8338748129696518,0.017247105523295028
8,Balanced Accuracy,0.8338504355341264,0.017417812275542798
9,MCC,0.6688631587588505,0.034306238308064806
10,NPV,0.835406,0.024016961778318757
11,ROC_AUC,0.8338504355341264,0.01741781227554279
