,Metric,Value (average),Value (std)
0,R2,0.7175955429450052,0.024982692254494215
1,Accuracy,0.8388709725315515,0.015627615882937092
2,Precision,0.8456687352527753,0.025289663242952665
3,Sensitivity,0.8491156177915308,0.024396016027713886
4,Specificity,0.8282140000000001,0.027856058660220274
5,F1 score,0.8469566014734362,0.015752016028891272
6,F1 score (weighted),0.8388463046652876,0.01564362395740924
7,F1 score (macro),0.8382690165868385,0.01563180012265258
8,Balanced Accuracy,0.8386648599426343,0.015560139033553305
9,MCC,0.6775179775715259,0.030944137656949915
10,NPV,0.8320399999999999,0.026350734799807693
11,ROC_AUC,0.8386648599426343,0.015560139033553315
