,Metric,Value (average),Value (std)
0,R2,0.6650986190878792,0.028504382289592053
1,Accuracy,0.81892571145756,0.016352867376457074
2,Precision,0.8285205016086203,0.025524101863188438
3,Sensitivity,0.8272553859794881,0.022072223285798484
4,Specificity,0.8101979999999999,0.027033995906892445
5,F1 score,0.8275383907993451,0.016566798856072974
6,F1 score (weighted),0.8189368735023372,0.01635808803842888
7,F1 score (macro),0.8183031451160329,0.01632726336331583
8,Balanced Accuracy,0.8187269528035354,0.016348781109898663
9,MCC,0.6373736420925646,0.0326761444821411
10,NPV,0.8087820000000001,0.024344958745632132
11,ROC_AUC,0.8187269528035354,0.016348781109898652
