,Metric,Value (average),Value (std)
0,R2,0.7040644548006899,0.023243420082646026
1,Accuracy,0.828763672358327,0.01651544967975063
2,Precision,0.8390310886036534,0.027788848908441265
3,Sensitivity,0.835167710931039,0.021847060139378534
4,Specificity,0.82234,0.03022988114905043
5,F1 score,0.8366809363569737,0.016436382525266555
6,F1 score (weighted),0.8287800335220541,0.016553378854970335
7,F1 score (macro),0.8282079902201827,0.01652428331834207
8,Balanced Accuracy,0.8287559646964319,0.016761502647750212
9,MCC,0.6573346863287051,0.03309879927300982
10,NPV,0.8181260000000001,0.0238838670680116
11,ROC_AUC,0.8287559646964319,0.01676150264775022
