,Metric,Value (average),Value (std)
0,R2,0.7127984731101921,0.0224863624891376
1,Accuracy,0.833395100222717,0.016128627180435933
2,Precision,0.8375381201515911,0.02734756973991913
3,Sensitivity,0.8481175486514158,0.020732097911954
4,Specificity,0.8176399999999999,0.029834092264127796
5,F1 score,0.8424165273422978,0.016456159221816518
6,F1 score (weighted),0.8333199587743613,0.016210211012491427
7,F1 score (macro),0.8326791012913445,0.016116922984658277
8,Balanced Accuracy,0.8328796149806869,0.016247723105645363
9,MCC,0.6662769371327103,0.031896478029411326
10,NPV,0.82926,0.021897451160967082
11,ROC_AUC,0.8328796149806866,0.01624772310564538
