,Metric,Value (average),Value (std)
0,Accuracy,0.8322475312408198,0.023274685986343746
1,Precision,0.8457539786560389,0.02804190499837264
2,Sensitivity,0.8917310756602483,0.027429018263745913
3,Specificity,0.73646,0.04623455285336953
4,F1 score,0.8677030529113188,0.019818796682402433
5,F1 score (weighted),0.8304828690833918,0.023691629421249062
6,F1 score (macro),0.8187966754501427,0.024165691585045775
7,Balanced Accuracy,0.8140959452993153,0.024621077080307797
8,MCC,0.6413096796964282,0.04788014918606471
9,NPV,0.80916,0.03933467598307984
10,ROC_AUC,0.8140959452993153,0.024621077080307825
