,Metric,Value (average),Value (std)
0,Accuracy,0.8483379657876303,0.018909893416749642
1,Precision,0.8647010437376573,0.023976606765574535
2,Sensitivity,0.895032570975075,0.022721011091923267
3,Specificity,0.7730599999999999,0.03863924197507197
4,F1 score,0.8792919592042574,0.016298715797402198
5,F1 score (weighted),0.847364647626494,0.019113831598203065
6,F1 score (macro),0.8372695143406752,0.019620454434788964
7,Balanced Accuracy,0.8340466465946189,0.020317709627541848
8,MCC,0.6765508421887436,0.03904937229453226
9,NPV,0.820556,0.03303925408062479
10,ROC_AUC,0.8340466465946189,0.020317709627541872
