,Metric,Value (average),Value (std)
0,Accuracy,0.8556068515128917,0.020282928907290564
1,Precision,0.8653087454424697,0.024493869472745476
2,Sensitivity,0.9081022186822065,0.020709770723339932
3,Specificity,0.770858,0.040765532109409114
4,F1 score,0.8859222329291412,0.016745914310611877
5,F1 score (weighted),0.8542675620273728,0.020669162914756564
6,F1 score (macro),0.8442556795340317,0.02165482368557878
7,Balanced Accuracy,0.8394793277162393,0.022364925881187308
8,MCC,0.6912997359168933,0.04270112161926724
9,NPV,0.8386919999999999,0.03280424835602976
10,ROC_AUC,0.8394793277162392,0.022364925881187308
