,Metric,Value (average),Value (std)
0,Accuracy,0.847726707793822,0.020214345941015035
1,Precision,0.8613064614908038,0.02595926414285614
2,Sensitivity,0.8989500566387452,0.02108026532764473
3,Specificity,0.7649959999999999,0.044742756613643686
4,F1 score,0.8793975212001334,0.01653806335657865
5,F1 score (weighted),0.8464474395042348,0.02070576184543358
6,F1 score (macro),0.8360262731574898,0.02168674304038154
7,Balanced Accuracy,0.8319732396316781,0.02290117903266846
8,MCC,0.6746430248446322,0.04255135800774815
9,NPV,0.824362,0.03163229356082747
10,ROC_AUC,0.8319732396316781,0.022901179032668462
