,Metric,Value (average),Value (std)
0,Accuracy,0.8507613043183513,0.020323130665523364
1,Precision,0.8649306335161582,0.024055155112733474
2,Sensitivity,0.8993559849187879,0.0240634293477239
3,Specificity,0.772152,0.040379653595465574
4,F1 score,0.8814938880631249,0.017289597610554396
5,F1 score (weighted),0.8496538697576714,0.02052161629681635
6,F1 score (macro),0.8395552161678469,0.021323351007024243
7,Balanced Accuracy,0.8357513955637177,0.021831009466819894
8,MCC,0.6814090150466605,0.04235899830449772
9,NPV,0.826678,0.034951723498422856
10,ROC_AUC,0.8357513955637178,0.02183100946681989
