,Metric,Value (average),Value (std)
0,R2,0.6963070310453512,0.032259098399939436
1,Accuracy,0.8545233091541816,0.015820877245547236
2,Precision,0.8712716559744016,0.019051541704966795
3,Sensitivity,0.8977290584632119,0.02082665837828092
4,Specificity,0.7848860000000001,0.03249510487467808
5,F1 score,0.8840512135028169,0.013044473353204994
6,F1 score (weighted),0.853761172561463,0.01591202035313006
7,F1 score (macro),0.8441034874606756,0.01726642678532393
8,Balanced Accuracy,0.8413064407573286,0.017698262748617098
9,MCC,0.6897498020948943,0.034577177438040584
10,NPV,0.825796,0.033411509443084214
11,ROC_AUC,0.8413064407573286,0.017698262748617112
