,Metric,Value (average),Value (std)
0,R2,0.7120139458014636,0.03353436999110259
1,Accuracy,0.8597089462861276,0.01824695046757226
2,Precision,0.8752763421775821,0.021787112460463443
3,Sensitivity,0.901852252121716,0.020951724485107667
4,Specificity,0.791786,0.03484624542770947
5,F1 score,0.8881191744525009,0.01540245098634609
6,F1 score (weighted),0.858960213411073,0.01837102747974413
7,F1 score (macro),0.849712813019106,0.019200695224561477
8,Balanced Accuracy,0.8468197839225574,0.0196226861423582
9,MCC,0.7009607456775933,0.03806815518103182
10,NPV,0.8331820000000001,0.032053709327200385
11,ROC_AUC,0.8468197839225574,0.019622686142358223
