,molecule_chembl_id,y_test_idx0,y_test0,y_pred_xgb0,y_pred_xgb1,y_pred_xgb2,y_pred_xgb3,y_pred_xgb4,y_pred_xgb_ave,y_pred_xgb_std
0,CHEMBL356066,0,8.02,6.989207,7.113615,7.074097,7.0892296,7.059748,7.224316123326619,0.3578967919274667
1,CHEMBL3652228,1,8.05,8.047163,8.086877,8.001071,8.181213,7.995982,8.060384400685628,0.0622493151846864
2,CHEMBL3939518,2,6.87,7.3163614,7.274952,7.437621,7.388706,7.586619,7.3123765977223725,0.2212972276556848
3,CHEMBL4281792,3,7.22,8.302556,7.8892145,7.4649286,8.024971,7.8586674,7.793389593760172,0.35660114425879136
4,CHEMBL4070232,4,7.15,6.6534176,6.5270233,6.5032964,6.7118216,6.748535,6.715682331720988,0.21381571815124895
5,CHEMBL2018295,5,7.94,8.061498,7.952359,8.118769,7.645018,7.9765983,7.949040323893229,0.14985330177277212
6,CHEMBL3758451,6,6.62,7.290083,7.255535,7.1528893,7.1585717,7.3629403,7.14000322341919,0.24375078653143809
7,CHEMBL4073813,7,8.73,8.448092,8.735599,8.760387,8.8293495,8.546335,8.674960530598959,0.13282420640041168
8,CHEMBL481018,8,7.4,6.9621844,7.214524,6.9852676,7.2088127,7.2518196,7.170434697469076,0.1529681156018587
9,CHEMBL3693785,9,8.05,8.285682,8.197323,8.092906,8.2303095,8.232311,8.18142188390096,0.08287485914442201
10,CHEMBL3745758,10,7.03,7.5251136,7.496002,7.678611,7.799128,7.5649,7.515625759760539,0.24002538065901197
11,CHEMBL3262725,11,6.55,7.875248,7.8914742,7.718713,7.761639,7.8786616,7.612622626622517,0.4796065974313699
12,CHEMBL2431917,12,7.46,7.318591,7.0411196,7.2684474,7.3893647,7.2685604,7.291013870239258,0.13067151450911013
13,CHEMBL407959,13,6.47,6.6935353,7.065948,6.7768764,6.643153,6.666402,6.719319140116373,0.1802270538460528
14,CHEMBL4069885,14,5.87,5.553472,5.444874,5.439416,5.37023,5.546525,5.5374194971720385,0.16179825408579981
15,CHEMBL3937174,15,5.71,5.781728,5.714787,5.812882,5.75238,5.75367,5.754241142272949,0.035851446942351047
16,CHEMBL3763386,16,7.01,6.995897,6.940686,7.0013223,7.264191,6.9613605,7.028909486134847,0.10794453555923232
17,CHEMBL494813,17,6.14,5.8918104,5.5637407,5.63885,5.6759214,5.5928965,5.750536543528239,0.20388902737258954
18,CHEMBL3953547,18,6.07,6.148883,6.2411547,6.4796596,6.190647,6.2050176,6.222560297648112,0.12680364505439293
19,CHEMBL4203935,19,6.53,6.873121,6.837197,6.870728,6.9286103,6.8820143,6.820278371175131,0.13255966468227764
20,CHEMBL4072045,20,9.32,9.419935,9.356654,9.346431,9.386138,9.610142,9.40654998143514,0.09629835179698784
21,CHEMBL4218728,21,4.36,5.191463,5.186511,4.715549,5.029862,5.061765,4.924191691080729,0.2978204429387496
22,CHEMBL3640679,22,5.9,6.6169868,6.796771,6.7290773,6.863351,6.6445675,6.591792249679565,0.32057346871706843
23,CHEMBL469134,23,7.17,6.8492985,6.763563,7.0149903,6.7534647,6.812792,6.894018081029256,0.15064947891914993
24,CHEMBL4583725,24,8.0,7.879268,8.057495,7.9319625,8.056673,7.9694376,7.982472737630208,0.06430867171985892
25,CHEMBL4470302,25,8.22,7.7852626,7.799107,7.856578,7.713294,7.9256935,7.883322512308756,0.16405282809507074
26,CHEMBL3800615,26,7.05,6.439337,6.7502155,6.7121787,6.619123,6.638605,6.701576519012451,0.18412439069270534
27,CHEMBL3339024,27,8.27,7.9056697,8.02792,7.98966,8.022207,7.9110594,8.021085980733234,0.12139503417935575
28,CHEMBL2105763,28,6.46,6.743088,7.2375674,6.910152,7.340955,7.1079226,6.9666140810648605,0.30092207438513635
29,CHEMBL3681869,29,6.5,6.359592,6.146874,6.241703,6.2558274,6.238352,6.290391365687053,0.11224607191749415
30,CHEMBL1080580,30,7.39,7.321209,6.8176837,7.0568323,6.803301,6.9032845,7.048718395233155,0.23293342292548375
31,CHEMBL3526942,31,5.31,7.452375,7.336016,7.718434,7.085607,7.5530114,7.075907239913941,0.8132625551250332
32,CHEMBL4086244,32,7.37,7.4258847,7.5641375,7.639117,7.491716,7.457534,7.4913981151580815,0.08877706962685285
33,CHEMBL4067480,33,7.76,7.736308,7.829314,8.020753,7.8144035,7.887418,7.84136609395345,0.093835173263537
34,CHEMBL255686,34,8.34,7.1416297,7.1597776,7.3467526,7.419479,7.215847,7.437247648239136,0.41570516432171273
35,CHEMBL2442692,35,7.16,7.676407,7.71367,7.911498,7.807794,7.870364,7.689955498377482,0.2507033785637571
36,CHEMBL3951849,36,5.3,4.681994,4.6206803,4.9004607,4.8550763,4.501175,4.809897708892822,0.2575251966664926
37,CHEMBL3759794,37,9.3,8.535658,8.658013,8.398528,8.848006,8.511407,8.708602078755696,0.299077958299581
38,CHEMBL485771,38,6.8,6.4128633,6.4705358,6.3092465,6.403253,6.5511923,6.491181818644205,0.15618466175426762
39,CHEMBL1934897,39,4.31,4.9007196,4.9005284,4.962884,5.10194,5.0109596,4.86450530052185,0.2574191817195965
40,CHEMBL3920532,40,8.62,8.635215,8.651109,8.470393,8.514465,8.576613,8.577965914408365,0.06582833645166696
41,CHEMBL4299456,41,7.02,6.9728117,6.7450933,6.747785,6.616613,6.7901874,6.8154150676727285,0.1392278630171635
42,CHEMBL517076,42,6.28,6.348771,6.422522,6.326756,6.3992076,6.3030577,6.346719071070353,0.05043415922911857
43,CHEMBL4210907,43,7.79,7.3621874,7.6369205,7.300664,7.2339444,7.436598,7.460052337646484,0.19442432281303773
44,CHEMBL3640665,44,7.74,8.0880995,8.246314,8.200471,8.331893,8.258602,8.14422992706299,0.19512179914471697
45,CHEMBL4548542,45,6.89,6.922498,7.121731,6.9069376,6.6123343,6.976136,6.904939514795939,0.1517787656886166
46,CHEMBL2408820,46,6.74,5.547565,5.799552,5.5871277,5.500713,5.507789,5.780457773208618,0.4407014945406967
47,CHEMBL3892860,47,4.35,4.9933944,5.145475,5.1451125,5.4027495,4.949845,4.997762695948283,0.32389734064967257
48,CHEMBL3758595,48,6.61,6.5335455,6.7566214,6.848227,6.485726,6.8462286,6.680058059692382,0.14485305644847887
49,CHEMBL1173195,49,4.83,5.450874,5.4311686,5.2869735,5.066566,5.199174,5.2107926336924235,0.21523142898389494
50,CHEMBL2337874,50,6.17,5.3570466,5.6210637,5.400379,5.5875106,5.7505355,5.647755928039551,0.26874760479260656
51,CHEMBL3688164,51,5.49,5.2724915,5.0437427,5.071177,5.1230054,5.1741133,5.195754963556926,0.15102808942630416
52,CHEMBL3925737,52,7.08,6.765186,6.781374,6.917248,6.6251473,7.077787,6.874456974665324,0.16742260631095232
53,CHEMBL3652236,53,7.68,7.402243,7.956477,7.9985204,7.472518,7.7765465,7.714384187062581,0.22372606350468793
54,CHEMBL3309288,54,7.4,7.501663,7.459883,7.4456553,7.3928723,7.416495,7.436094824473063,0.037664490660782174
55,CHEMBL1808672,55,4.52,6.345079,6.2561703,6.3834386,6.2513785,6.2625833,6.003108266194661,0.6651078864853193
56,CHEMBL3640657,56,7.77,7.4004507,7.432777,7.3921056,7.4522476,7.3890443,7.472770853042602,0.13485369303787323
57,CHEMBL3601780,57,6.52,7.2395306,7.447393,7.178971,7.0588374,7.1961727,7.106817407608031,0.2867785759798763
58,CHEMBL3692625,58,5.29,5.5628777,5.5684257,5.529003,5.6113095,5.4121327,5.495624787012736,0.11073426425595441
59,CHEMBL4079625,59,7.77,7.5935183,7.756804,7.678734,7.680808,7.573229,7.675515495936075,0.07389138154126126
60,CHEMBL497760,60,7.82,6.281343,6.2391896,6.489956,6.261003,6.1417866,6.53887968381246,0.5823373110606279
61,CHEMBL1214762,61,5.72,6.2475176,6.523751,6.2966647,6.782473,6.551769,6.353695824940999,0.33369104700943203
62,CHEMBL4208487,62,6.96,6.5942864,6.5379987,6.701003,6.607212,6.5535054,6.659000946680705,0.14434075396523274
63,CHEMBL585554,63,6.77,6.708305,6.7821183,6.733169,6.7292066,6.753553,6.746058626174926,0.025183106009717574
64,CHEMBL479611,64,6.96,6.3853393,6.4876585,6.3924003,6.1814103,6.311043,6.452975187301636,0.2450895484623999
65,CHEMBL145110,65,4.72,6.5161967,6.688725,6.7831693,6.6876984,6.707149,6.350489730834961,0.733540019969052
66,CHEMBL2425952,66,7.1,7.838666,7.596827,7.7431345,7.910085,7.893327,7.6803399880727135,0.2801563882821232
