,Metric,Value (average),Value (std)
0,Accuracy,0.9015609920323197,0.024601064975241532
1,Precision,0.8064277347359805,0.05574550216837615
2,Sensitivity,0.7996457219251337,0.07368969025913776
3,Specificity,0.9355560000000002,0.02060366680264184
4,F1 score,0.8011895131492776,0.05305294589243796
5,F1 score (weighted),0.9012788953576735,0.025085544446167122
6,F1 score (macro),0.867857083061876,0.034411148775006596
7,Balanced Accuracy,0.8675980949565545,0.038803440020069226
8,MCC,0.7374057119346082,0.06853957621961702
9,NPV,0.9339660000000001,0.023063644064870163
10,ROC_AUC,0.8675980949565545,0.03880344002006923
