,Metric,Value (average),Value (std)
0,Accuracy,0.901675392670157,0.01758191490501756
1,Precision,0.7799948205738702,0.07447396705656047
2,Sensitivity,0.6153325693913928,0.07905202205348587
3,Specificity,0.962336,0.015452161330892144
4,F1 score,0.6845708497973901,0.06378851245032366
5,F1 score (weighted),0.8968093228237207,0.018910206090899676
6,F1 score (macro),0.8131383748471686,0.036677112789004616
7,Balanced Accuracy,0.7888330744335998,0.039716761768749734
8,MCC,0.6357486821792879,0.07087142316816378
9,NPV,0.9221720000000002,0.014359339419744509
10,ROC_AUC,0.7888330744335998,0.03971676176874972
