,Metric,Value (average),Value (std)
0,Accuracy,0.9056043092806644,0.029665072950322575
1,Precision,0.8531054300202863,0.05011024501780615
2,Sensitivity,0.7500478418640185,0.09619858694181675
3,Specificity,0.957404,0.014660553209485767
4,F1 score,0.7961143924598822,0.0706195991715824
5,F1 score (weighted),0.902979982926632,0.0316478067362634
6,F1 score (macro),0.867315385711514,0.04457520189184961
7,Balanced Accuracy,0.8537241615443056,0.05107617589526805
8,MCC,0.7393735108678063,0.08555614405001179
9,NPV,0.9207380000000001,0.02884926264399216
10,ROC_AUC,0.8537241615443056,0.051076175895268056
