,Metric,Value (average),Value (std)
0,Accuracy,0.9074345549738219,0.018845792966969185
1,Precision,0.8089621563924397,0.06769980151575768
2,Sensitivity,0.6202155801714625,0.0978366562203827
3,Specificity,0.968266,0.0134222266165841
4,F1 score,0.6974571942937476,0.07473141510378609
5,F1 score (weighted),0.9019702293111161,0.021606107828285825
6,F1 score (macro),0.8213699822251939,0.04240167159024425
7,Balanced Accuracy,0.7942399799032482,0.04829143603603268
8,MCC,0.6549525702840975,0.07783858618167504
9,NPV,0.9236319999999999,0.017868207315034745
10,ROC_AUC,0.7942399799032482,0.04829143603603266
