,Metric,Value (average),Value (std)
0,Accuracy,0.9114285714285713,0.02216795084961011
1,Precision,0.8726991553160137,0.05657887845837778
2,Sensitivity,0.7582969505984213,0.06899528584961641
3,Specificity,0.962408,0.018843077438331007
4,F1 score,0.8093738643980969,0.05040044535404619
5,F1 score (weighted),0.9091133859105706,0.023161951314726398
6,F1 score (macro),0.8758139243243869,0.032172244828614915
7,Balanced Accuracy,0.8603508161215282,0.035647502646487216
8,MCC,0.7569044301262217,0.062483229130023216
9,NPV,0.9233100000000002,0.020610986271938584
10,ROC_AUC,0.8603508161215282,0.035647502646487216
