,Metric,Value (average),Value (std)
0,Accuracy,0.9018848167539268,0.01665110289067887
1,Precision,0.78128381853575,0.06706382580136512
2,Sensitivity,0.6168307338086749,0.09287735000698163
3,Specificity,0.9623180000000001,0.015281784408042069
4,F1 score,0.6844112320358395,0.06554411848513331
5,F1 score (weighted),0.8968358626904851,0.018856969868327602
6,F1 score (macro),0.8131221909969085,0.03711431126611382
7,Balanced Accuracy,0.7895732152612445,0.044352209635935114
8,MCC,0.6367805016011255,0.06892335652174522
9,NPV,0.922546,0.017058341786052818
10,ROC_AUC,0.7895732152612445,0.04435220963593511
