,Metric,Value (average),Value (std)
0,Accuracy,0.9148636516664795,0.023985618682691355
1,Precision,0.8547921396714835,0.05367839698048281
2,Sensitivity,0.7963295772854599,0.07001241872592355
3,Specificity,0.95443,0.018428806753757743
4,F1 score,0.8228490969661455,0.051082677638378135
5,F1 score (weighted),0.9136915847939626,0.024624481227304203
6,F1 score (macro),0.8833874251971213,0.033295312784266104
7,Balanced Accuracy,0.8753778623030369,0.03744329526282397
8,MCC,0.7691544848006059,0.06585746411393613
9,NPV,0.934,0.022189894739980807
10,ROC_AUC,0.8753778623030369,0.03744329526282398
