,Metric,Value (average),Value (std)
0,Accuracy,0.9103664921465969,0.013978335241554124
1,Precision,0.7825104184143892,0.05198867021074347
2,Sensitivity,0.6802160364145657,0.0827444428232587
3,Specificity,0.959146,0.013115891747286222
4,F1 score,0.7241228848989667,0.0540243835724479
5,F1 score (weighted),0.9075794864573684,0.01565884263050676
6,F1 score (macro),0.8352753349260366,0.03068781146987629
7,Balanced Accuracy,0.819679602830164,0.03914806185168356
8,MCC,0.6758018684391911,0.057134847566429295
9,NPV,0.934324,0.015390860791988455
10,ROC_AUC,0.819679602830164,0.03914806185168359
