,Metric,Value (average),Value (std)
0,Accuracy,0.9135125126248458,0.027389139486350342
1,Precision,0.873243260283167,0.050746514643466877
2,Sensitivity,0.7642084606569901,0.09062268294533465
3,Specificity,0.963186,0.015232377037221786
4,F1 score,0.8129212923113311,0.06551835864398427
5,F1 score (weighted),0.9110824046702642,0.029171880821148865
6,F1 score (macro),0.878305076332412,0.041301277308984356
7,Balanced Accuracy,0.8636956594714094,0.04760741547745321
8,MCC,0.7616310731232356,0.07939030717170065
9,NPV,0.9253480000000001,0.026940010757084645
10,ROC_AUC,0.8636956594714094,0.0476074154774532
