,Metric,Value (average),Value (std)
0,Accuracy,0.9076439790575916,0.01750123057856056
1,Precision,0.8116771912445309,0.06657354488464469
2,Sensitivity,0.6166849588320177,0.08334859455252545
3,Specificity,0.9693100000000001,0.012394851630365541
4,F1 score,0.6978505429860984,0.06749274108212687
5,F1 score (weighted),0.9021881886253379,0.019702310011169347
6,F1 score (macro),0.8216481279558339,0.038542146522903824
7,Balanced Accuracy,0.7929931033174903,0.04207848796987731
8,MCC,0.6550647973201924,0.07285158328431239
9,NPV,0.922936,0.015363962074030414
10,ROC_AUC,0.7929931033174902,0.0420784879698773
