,molecule_chembl_id,y_test_idx0,y_test0,y_pred_knn0,y_pred_knn1,y_pred_knn2,y_pred_knn3,y_pred_knn4,y_pred_knn_ave,y_pred_knn_std
0,CHEMBL4635479,0,0.42,0.9144349498486343,0.9182815620347844,0.9182815620347844,0.9424157542339502,0.08702452451421543,0.7000730587777282,0.33019699367387895
1,CHEMBL4299417,1,0.98,0.740446816055211,0.740446816055211,0.740446816055211,0.740446816055211,1.0327014222619995,0.8290814477471405,0.1262681638261646
2,CHEMBL4225331,2,0.84,1.6794727104532838,1.704117647058823,1.6794727104532838,1.6794727104532838,1.3460377358490567,1.4880955857112887,0.31537001113462376
3,CHEMBL1094710,3,0.45,0.2523424494649227,0.19999861782999306,0.2523424494649227,0.2746272912423625,0.2746272912423625,0.2839896832074272,0.07830743676744806
4,CHEMBL3287256,4,-0.33,0.0926518370407398,0.010387347200984429,0.0926518370407398,0.0926518370407398,0.0926518370407398,0.00849911589399061,0.15433294030768466
5,CHEMBL261272,5,0.61,0.2502914798206278,0.2502914798206278,0.29382949932341,0.2474663677130045,0.2502914798206278,0.31702838441638304,0.13201696436452243
6,CHEMBL3415625,6,1.35,2.2904651162790692,2.224601473543202,2.099446536144578,2.224601473543202,2.2904651162790692,2.0799299526315203,0.3325879435003305
7,CHEMBL3747043,7,-0.12,0.09612691392769791,0.09612691392769791,0.10266127997947927,0.09612691392769791,0.09612691392769791,0.06119482261504516,0.08106790861448213
8,CHEMBL3601331,8,0.36,0.11748091603053437,0.12200934306569344,0.12200934306569344,0.07639182481751826,0.1604204753199269,0.15971865038322772,0.09281206938521958
9,CHEMBL3692689,9,0.1,-0.21882397181948687,-0.2256135149155845,-0.2256135149155845,-0.2256135149155845,-0.2256135149155845,-0.1702130052469708,0.1208683582538474
10,CHEMBL2442795,10,0.35,0.12930951666166315,0.1617036760589662,0.24710202024829356,0.17987271464938667,0.1518721996277659,0.20331002120767924,0.07509772357330796
11,CHEMBL4091731,11,-0.26,0.38821502412129555,0.4959942547079476,0.4959942547079476,0.38821502412129555,0.4959942547079476,0.3340688020610723,0.27001263086312394
12,CHEMBL3126833,12,-3.59,-3.215864960041866,-3.215864960041866,-3.215864960041866,-3.215864960041866,-3.0703971427287837,-3.2539761638160414,0.15938586871677515
13,CHEMBL473836,13,-0.06,-0.1561185468451243,-0.15611854684512427,-0.15611854684512427,-0.15611854684512427,-0.1561185468451243,-0.14009878903760356,0.035821267440699314
14,CHEMBL1934900,14,0.11,0.15939704954291062,0.25466903466397994,0.2286081089625909,0.25466903466397994,0.25466903466397994,0.21033537708290687,0.05611329821714189
15,CHEMBL507592,15,0.0,0.1966899256231248,0.2232359666257817,0.2834908710980365,0.2232359666257817,0.17449688776117037,0.1835249362889825,0.08858455925209927
16,CHEMBL482271,16,0.24,1.033159420289855,0.8048446866485012,1.033159420289855,0.9551395007342144,1.033159420289855,0.8499104080420468,0.2845567865122137
17,CHEMBL4577107,17,0.48,0.9711095808538833,0.9441522230595326,0.9711095808538833,1.1976163887912747,0.9711095808538833,0.9225162257354097,0.2156589779480926
18,CHEMBL3339010,18,0.17,-0.10588015359741307,-0.13438101522716236,-0.14754684493061887,-0.10588015359741307,-0.10588015359741307,-0.07159472015833673,0.10924386005064923
19,CHEMBL4245802,19,0.33,0.5633333333333334,0.56,0.5633333333333334,0.5633333333333334,0.5633333333333334,0.523888888888889,0.08671828946880272
