,Metric,Value (average),Value (std)
0,R2,0.7094711696669274,0.055459961972094414
1,Accuracy,0.9034990461227695,0.02096162834353634
2,Precision,0.9118977247310002,0.05173725431309131
3,Sensitivity,0.6809083587980647,0.07496918273392052
4,Specificity,0.977504,0.014377362592006946
5,F1 score,0.7770359403934555,0.054029156913528546
6,F1 score (weighted),0.8981241806560969,0.02312686752334184
7,F1 score (macro),0.8576963136325036,0.033326995808296005
8,Balanced Accuracy,0.8292050043374687,0.037627668545933246
9,MCC,0.7315430768413765,0.06146162276052235
10,NPV,0.9025540000000001,0.021148196333570974
11,ROC_AUC,0.8292050043374687,0.03762766854593324
