,Metric,Value (average),Value (std)
0,R2,0.7155339670827751,0.044688502920388416
1,Accuracy,0.9048167539267016,0.017752899947620065
2,Precision,0.7997878481288037,0.06306670614919174
3,Sensitivity,0.6099024382480265,0.0869142279814274
4,Specificity,0.9672499999999999,0.011996330221176403
5,F1 score,0.6888737726506556,0.06813342821655528
6,F1 score (weighted),0.8992260523104085,0.02001564659443692
7,F1 score (macro),0.8163143728414962,0.038870439749891045
8,Balanced Accuracy,0.7885757063144535,0.04359024045125467
9,MCC,0.6441393915735858,0.07316451097478563
10,NPV,0.9215660000000001,0.015995236663406
11,ROC_AUC,0.7885757063144535,0.043590240451254675
