,Metric,Value (average),Value (std)
0,R2,0.6962472049919843,0.04989466537377329
1,Accuracy,0.8751318594994951,0.02346252819884013
2,Precision,0.9188756090606272,0.052596665802553524
3,Sensitivity,0.5483962630506748,0.08587881863281956
4,Specificity,0.9836659999999999,0.011168132688820541
5,F1 score,0.6831065498528932,0.07471557825731381
6,F1 score (weighted),0.8625443084296468,0.02878685197285829
7,F1 score (macro),0.8026233910182067,0.043992415213065864
8,Balanced Accuracy,0.7660303864675184,0.04349986959247665
9,MCC,0.6457506085190361,0.07343673354355665
10,NPV,0.8681379999999999,0.021888156241983238
11,ROC_AUC,0.7660303864675184,0.043499869592476655
