,Metric,Value (average),Value (std)
0,R2,0.7237937852438863,0.04296285615513718
1,Accuracy,0.8967539267015706,0.01715514876509373
2,Precision,0.8182588506557795,0.07589138238410643
3,Sensitivity,0.5301386236312706,0.08079407249601069
4,Specificity,0.974364,0.012357609570046887
5,F1 score,0.6397179922197201,0.0696869680374215
6,F1 score (weighted),0.8872919367308205,0.019806665871743113
7,F1 score (macro),0.789701271475939,0.03935676539777172
8,Balanced Accuracy,0.752249621914208,0.04070913726272262
9,MCC,0.6036924423500206,0.07312296023812323
10,NPV,0.9075520000000001,0.014333936326503092
11,ROC_AUC,0.752249621914208,0.04070913726272262
