,Metric,Value (average),Value (std)
0,R2,0.7026958798284292,0.05879480251441451
1,Accuracy,0.8722949163954664,0.024553772542111378
2,Precision,0.9255586786906278,0.05015823346995549
3,Sensitivity,0.5305658581614463,0.08977693883258489
4,Specificity,0.985866,0.01008851863076365
5,F1 score,0.6705879817484184,0.0792036492925781
6,F1 score (weighted),0.8583316567776429,0.030358370787723885
7,F1 score (macro),0.7956426432182071,0.046589821161492774
8,Balanced Accuracy,0.7582151639968919,0.045759355629460936
9,MCC,0.6371041407621266,0.07730295240088392
10,NPV,0.863902,0.02297710031260495
11,ROC_AUC,0.7582151639968919,0.04575935562946094
