,Metric,Value (average),Value (std)
0,R2,0.7129155340606651,0.03398282989161008
1,Accuracy,0.8987434554973822,0.017496435239054194
2,Precision,0.8582078622750247,0.06914524231922646
3,Sensitivity,0.5061661149308208,0.08578612379686391
4,Specificity,0.9819679999999998,0.009958289337562569
5,F1 score,0.6327542686995224,0.07693817274087143
6,F1 score (weighted),0.8872765658072654,0.021585047988011887
7,F1 score (macro),0.7869906215907128,0.043116617142804944
8,Balanced Accuracy,0.7440721284808893,0.04318209989883399
9,MCC,0.6082909813439649,0.07610226673141407
10,NPV,0.9038919999999999,0.015660776950518054
11,ROC_AUC,0.7440721284808893,0.04318209989883397
