,Metric,Value (average),Value (std)
0,R2,0.7159152751264294,0.04803369209434196
1,Accuracy,0.8790124565144204,0.022601533696869715
2,Precision,0.9434614346549938,0.047683808163042574
3,Sensitivity,0.5486252228163992,0.084011199317958
4,Specificity,0.988848,0.009809371612319078
5,F1 score,0.690134254606683,0.0711361152699888
6,F1 score (weighted),0.8662258844057794,0.027654493826666657
7,F1 score (macro),0.8074406083571389,0.04202220004722089
8,Balanced Accuracy,0.7687359548469853,0.042377741191583065
9,MCC,0.6593877562353754,0.06919474299515956
10,NPV,0.8687339999999999,0.02189647823700592
11,ROC_AUC,0.7687359548469853,0.04237774119158306
