,Metric,Value (average),Value (std)
0,R2,0.7390359884091768,0.03313914960384015
1,Accuracy,0.8939267015706807,0.01966990962442
2,Precision,0.8338229992967103,0.07811166800804235
3,Sensitivity,0.4950259315847551,0.10200279619147347
4,Specificity,0.978428,0.012884004321131648
5,F1 score,0.6148725611937899,0.09019590643191207
6,F1 score (weighted),0.8818726107097896,0.024483567829947844
7,F1 score (macro),0.7766406597181986,0.05017657554852556
8,Balanced Accuracy,0.7367270684745679,0.05061638111886472
9,MCC,0.5875410823654768,0.08662493050659519
10,NPV,0.901786,0.017934973358992065
11,ROC_AUC,0.7367270684745679,0.050616381118864705
