,Metric,Value (average),Value (std)
0,R2,0.7229593619822171,0.046225324220436494
1,Accuracy,0.8843867130512849,0.023644523414535084
2,Precision,0.914199466356494,0.05035429771271167
3,Sensitivity,0.5928574929971989,0.08852910278191768
4,Specificity,0.9813000000000001,0.010933994919422587
5,F1 score,0.7155306885062668,0.07123083777904309
6,F1 score (weighted),0.8745375107917694,0.02822085261001121
7,F1 score (macro),0.8214464796967608,0.04246845362785379
8,Balanced Accuracy,0.78707775368023,0.044588715821898564
9,MCC,0.6737667364520723,0.07210088129810742
10,NPV,0.8793839999999998,0.023485995479720873
11,ROC_AUC,0.78707775368023,0.044588715821898564
