,Metric,Value (average),Value (std)
0,R2,0.7431819611223264,0.03519906379951086
1,Accuracy,0.8985340314136125,0.01958668777197277
2,Precision,0.8153556083217616,0.07751295266122002
3,Sensitivity,0.548265682030388,0.09576368447859564
4,Specificity,0.9728459999999999,0.014153303645496787
5,F1 score,0.6504441399089579,0.07836792164261153
6,F1 score (weighted),0.8898237088404831,0.02289263191256067
7,F1 score (macro),0.7955154171857131,0.04441472098382384
8,Balanced Accuracy,0.7605564281402398,0.04754466676523187
9,MCC,0.61316448239076,0.0807210952945015
10,NPV,0.910666,0.017867729547529923
11,ROC_AUC,0.7605564281402398,0.04754466676523186
