,molecule_chembl_id,y_test_idx0,y_test0,y_pred_xgb0,y_pred_xgb1,y_pred_xgb2,y_pred_xgb3,y_pred_xgb4,y_pred_xgb_ave,y_pred_xgb_std
0,CHEMBL585939,0,-1.19,-0.35723513,-0.501857,-0.50795126,-0.26306444,-0.4646984,-0.5474677040179571,0.3001149892878413
1,CHEMBL96051,1,0.78,1.7275238,1.8627988,1.6403371,1.7859488,1.7908798,1.5979147203763329,0.372007746660631
2,CHEMBL3356916,2,0.3,0.48741987,0.47133565,0.41517583,0.5387622,0.49386227,0.45109263857205706,0.07677200655546537
3,CHEMBL3907413,3,0.97,0.3030233,0.65366405,1.6913338,0.6117302,0.31691992,0.7577785454193751,0.47432265683712327
4,CHEMBL2047704,4,-2.25,-2.917163,-3.046047,-2.886846,-2.8923984,-3.0554495,-2.841317296028137,0.27320861327356566
5,CHEMBL3798027,5,1.33,1.7342254,1.8333591,1.7224537,1.8160906,1.6640152,1.6833573309580485,0.16806261877661324
6,CHEMBL3352823,6,-1.3,-1.0154129,-1.340911,-1.1212602,-1.1298931,-1.2929837,-1.2000768065452576,0.11810247955101401
7,CHEMBL4066975,7,0.16,1.8955128,1.2559164,1.7076555,1.5017043,1.6605653,1.3635590529441834,0.5728314697434442
8,CHEMBL4284448,8,2.31,2.5670655,2.303783,2.5135353,2.607479,2.579868,2.4802884753545125,0.12575208207526226
9,CHEMBL1096982,9,-0.52,-1.4586545,-1.4488833,-1.7591368,-1.4575434,-1.8686866,-1.4188174239794413,0.4339859681850042
10,CHEMBL3356932,10,0.06,0.050580893,-0.2718459,-0.21802488,-0.114880234,0.0063487217,-0.08130356771250566,0.1298522401975502
11,CHEMBL3415964,11,-0.53,1.1813672,1.1757579,0.5563365,1.1957847,1.2483804,0.8046044460932413,0.6419332916456224
12,CHEMBL3799728,12,1.23,1.7563932,1.4353836,1.4689622,1.4575098,1.6874355,1.505947368144989,0.17344613157028982
13,CHEMBL2047688,13,-2.63,-3.0622299,-2.8882635,-2.82755,-2.9345574,-2.873053,-2.8692756303151445,0.12965449057599066
14,CHEMBL2442692,14,-0.25,0.27662486,0.32041675,0.32798335,0.3395932,0.34193352,0.22609194616476694,0.21400854648411835
15,CHEMBL3909186,15,2.43,2.2461898,2.290987,2.4155343,2.217641,2.1834753,2.297304579416911,0.09446546360238292
16,CHEMBL4299380,16,1.61,1.6431465,1.9643744,1.9156175,2.0124047,1.6949302,1.8067455466588338,0.16174659332903893
